iata_code,name,continent,iso_country,municipality
HOQ,Hof-Plauen Airport,EU,DE,Hof
HOR,Horta Airport,EU,PT,Horta
HOS,Chos Malal Airport,SA,AR,Chos Malal
HOT,Memorial Field,NA,US,Hot Springs
HOU,William P Hobby Airport,NA,US,Houston
HOV,"Ørsta-Volda Airport, Hovden",EU,NO,Ørsta
HOX,Hommalinn Airport,AS,MM,Hommalinn
HOY,Hoy/Longhope Airfield,EU,GB,Orkney Isle
HPA,Lifuka Island Airport,OC,TO,Lifuka
HPB,Hooper Bay Airport,NA,US,Hooper Bay
HPE,Hope Vale Airport,OC,AU,Hope Vale
HPG,Shennongjia Hongping Airport,AS,CN,Shennongjia
HPH,Cat Bi International Airport,AS,VN,Haiphong
HPN,Westchester County Airport,NA,US,White Plains
HPR,Pretoria Central Heliport,AF,ZA,Pretoria
HPT,Hampton Municipal Airport,NA,US,Hampton
HPV,Princeville Airport,NA,US,Hanalei
HPY,Baytown Airport,NA,US,Baytown
HQM,Bowerman Airport,NA,US,Hoquiam
HRA,Mansehra Airport,AS,PK,Mansehra
HRB,Taiping Airport,AS,CN,Harbin
HRC,Sary Su Airport,AS,KZ,Zhayrem
HRE,Harare International Airport,AF,ZW,Harare
HRG,Hurghada International Airport,AF,EG,Hurghada
HRI,Mattala Rajapaksa International Airport,AS,LK,
HRK,Kharkiv International Airport,EU,UA,Kharkiv
HRL,Valley International Airport,NA,US,Harlingen
HRM,Hassi R'Mel Airport,AF,DZ,
HRO,Boone County Airport,NA,US,Harrison
HRR,Herrera Airport,SA,CO,Campiña
HRS,Harrismith Airport,AF,ZA,Harrismith
HRT,RAF Linton-On-Ouse,EU,GB,Linton-On-Ouse
HRY,Henbury Airport,OC,AU,
HRZ,Walter Bündchen Airport,SA,BR,Horizontina
HSB,Harrisburg-Raleigh Airport,NA,US,Harrisburg
HSC,Shaoguan Guitou Airport,AS,CN,Shaoguan
HSG,Saga Airport,AS,JP,Saga
HSH,Henderson Executive Airport,NA,US,Las Vegas
HSI,Hastings Municipal Airport,NA,US,Hastings
HSJ,Shangjie Airport,AS,CN,Zhengzhou
HSK,Huesca/Pirineos Airport,EU,ES,Monflorite/Alcalá del Obispo
HSL,Huslia Airport,NA,US,Huslia
HSM,Horsham Airport,OC,AU,
HSN,Zhoushan Airport,AS,CN,Zhoushan
HSP,Ingalls Field,NA,US,Hot Springs
HSS,Hissar Airport,AS,IN,
HST,Homestead ARB Airport,NA,US,Homestead
HSV,Huntsville International Carl T Jones Field,NA,US,Huntsville
HSZ,Hsinchu Air Base,AS,TW,Hsinchu City
HTA,Chita-Kadala Airport,EU,RU,Chita
HTG,Khatanga Airport,AS,RU,Khatanga
HTH,Hawthorne Industrial Airport,NA,US,Hawthorne
HTI,Hamilton Island Airport,OC,AU,Hamilton Island
HTL,Roscommon County - Blodgett Memorial Airport,NA,US,Houghton Lake
HTM,Khatgal Airport,AS,MN,Hatgal
HTN,Hotan Airport,AS,CN,Hotan
HTO,East Hampton Airport,NA,US,East Hampton
HTR,Hateruma Airport,AS,JP,Hateruma
HTS,Tri-State/Milton J. Ferguson Field,NA,US,Huntington
HTT,Huatugou Airport,AS,CN,Mengnai
HTU,Hopetoun Airport,OC,AU,
HTV,Huntsville Regional Airport,NA,US,Huntsville
HTW,Lawrence County Airpark,NA,US,Chesapeake/Huntington Wva
HTY,Hatay Airport,AS,TR,Hatay
HTZ,Hato Corozal Airport,SA,CO,Hato Corozal
HUA,Redstone Army Air Field,NA,US,Redstone Arsnl Huntsville
HUB,Humbert River Airport,OC,AU,
HUC,Humacao Airport,NA,PR,Humacao
HUD,Humboldt Municipal Airport,NA,US,Humboldt
HUE,Humera Airport,AF,ET,Humera
HUF,Terre Haute International Hulman Field,NA,US,Terre Haute
HUG,Huehuetenango Airport,NA,GT,Huehuetenango
HUH,Huahine-Fare Airport,OC,PF,Fare
HUI,Phu Bai Airport,AS,VN,Hue
HUJ,Stan Stamper Municipal Airport,NA,US,Hugo
HUK,Hukuntsi Airport,AF,BW,Hukuntsi
HUL,Houlton International Airport,NA,US,Houlton
HUM,Houma Terrebonne Airport,NA,US,Houma
HUN,Hualien Airport,AS,TW,Hualien City
HUO,Holingol Huolinhe Airport,AS,CN,Holingol
HUQ,Hon Airport,AF,LY,
HUS,Hughes Airport,NA,US,Hughes
HUT,Hutchinson Municipal Airport,NA,US,Hutchinson
HUU,Alferez Fap David Figueroa Fernandini Airport,SA,PE,Huánuco
HUV,Hudiksvall Airport,EU,SE,Hudiksvall
HUW,Humaitá Airport,SA,BR,Humaitá
HUX,Bahías de Huatulco International Airport,NA,MX,Huatulco
HUY,Humberside Airport,EU,GB,Grimsby
HUZ,Huizhou Airport,AS,CN,Huizhou
HVA,Analalava Airport,AF,MG,
HVB,Hervey Bay Airport,OC,AU,Hervey Bay
HVD,Khovd Airport,AS,MN,Khovd
HVE,Hanksville Airport,NA,US,Hanksville
HVG,Valan Airport,EU,NO,Honningsvåg
HVK,Hólmavík Airport,EU,IS,Hólmavík
HVM,Krókstaðarmelar Airport,EU,IS,Hvammstangi
HVN,Tweed New Haven Airport,NA,US,New Haven
HVR,Havre City County Airport,NA,US,Havre
HVS,Hartsville Regional Airport,NA,US,Hartsville
HWA,Hawabango Airport,OC,PG,Hawabango
HWD,Hayward Executive Airport,NA,US,Hayward
HWK,Wilpena Pound Airport,OC,AU,Hawker
HWN,Hwange National Park Airport,AF,ZW,Hwange
HWO,North Perry Airport,NA,US,Hollywood
HXD,Delingha Airport,AS,CN,Delingha
HXX,Hay Airport,OC,AU,
HYA,Barnstable Municipal Boardman Polando Field,NA,US,Hyannis
HYC,Wycombe Air Park,EU,GB,High Wycombe
HYD,Rajiv Gandhi International Airport,AS,IN,Hyderabad
HYF,Hayfields Airport,OC,PG,Bainyik
HYG,Hydaburg Seaplane Base,NA,US,Hydaburg
HYL,Hollis Clark Bay Seaplane Base,NA,US,Hollis
HYN,Huangyan Luqiao Airport,AS,CN,Huangyan
HYR,Sawyer County Airport,NA,US,Hayward
HYS,Hays Regional Airport,NA,US,Hays
HYV,Hyvinkää Airfield,EU,FI,Hyvinkää
HZB,Merville-Calonne Airport,EU,FR,Merville/Calonne
HZG,Hanzhong Chenggu Airport,AS,CN,Hanzhong
HZH,Liping Airport,AS,CN,Liping
HZK,Húsavík Airport,EU,IS,Húsavík
HZL,Hazleton Municipal Airport,NA,US,Hazleton
HZP,Fort Mackay / Horizon Airport,NA,CA,Fort Mackay
HZV,Hazyview Airport,AF,ZA,Hazyview
IAA,Igarka Airport,AS,RU,Igarka
IAB,Mc Connell Air Force Base,NA,US,Wichita
IAD,Washington Dulles International Airport,NA,US,Washington
IAG,Niagara Falls International Airport,NA,US,Niagara Falls
IAH,George Bush Intercontinental Houston Airport,NA,US,Houston
IAL,Ialibu Airport,OC,PG,Ialibu
IAM,In Aménas Airport,AF,DZ,Aménas
